shoe_sku,shoe_name,shoe_brand,shoe_type,shoe_gender
10K39884602,Speedcat OG Sneakers,PUMA come from PUMA merchant,未知類型,Unisex
112U574GCE,574,New Balance,Sneakers,Unisex
129L47739100,XT-6,Salomon,Hiking Shoes,Unisex
1HK1162031VCH,Clifton 10,Hoka,Running Shoes,Women
108JH8643,SL 72 RS,Adidas,Sneakers,Unisex
108JI0196,SL 72 OG,Adidas,Sneakers,Women
1HK1162031WWH,Clifton 10,Hoka,Running Shoes,Women
1HK1162031BBLC,Clifton 10,Hoka,Running Shoes,Women
150A11862C,Run Star Trainer,Converse,Sneakers,Unisex
150A11863C,Run Star Trainer,Converse,Sneakers,Unisex
150A13465C,Omni Trainer,Converse,Sneakers,Unisex
150A13469C,Converse Omega Trainer,Converse,Sneakers,Unisex
150A13470C,Converse Omega Trainer,Converse,Sneakers,Unisex
150A11861C,Run Star Trainer,Converse,Sneakers,Unisex
150A13467C,Omni Trainer,Converse,Sneakers,Unisex
150A13471C,Converse Omega Trainer,Converse,Sneakers,Unisex
150A15069C,Run Star Trainer,Converse,Sneakers,Unisex
150A12196C,Run Star Trainer,Converse,Sneakers,Unisex
108JH5632,Samba OG,Adidas,Sneakers,Unisex
108JI3202,Samba OG,Adidas,Sneakers,Unisex
112U530NEA,530,New Balance,Sneakers,Unisex
112U530NEB,530,New Balance,Sneakers,Unisex
112WS327FTA,327,New Balance,Sneakers,Women
112U1906RNE,1906R,New Balance,Sneakers,Unisex
112U530NEA,530,New Balance,Sneakers,Unisex
112U530NEB,530,New Balance,Sneakers,Unisex
112WS327FTA,327,New Balance,Sneakers,Women
112U1906RNE,1906R,New Balance,Sneakers,Unisex
112U1906RNF,1906R,New Balance,Sneakers,Unisex
112U327GPA,327,New Balance,Sneakers,Unisex
112U327GPB,327,New Balance,Sneakers,Unisex
112U530NEC,530,New Balance,Sneakers,Unisex
112WS327FTC,327,New Balance,Sneakers,Women
1KN1030548,Newport H2,Keen,Sandals,Women
108JS1615,Taekwondo,Adidas,Sneakers,Women
108JS1616,Taekwondo,Adidas,Sneakers,Women
1KN1030162,Uneek Astoria,Keen,Sandals,Women
108JH5687,Samba OG,Adidas,Sneakers,Women
無 SKU,Mafate Speed 2,Hoka,Hiking Shoes,Unisex
1MLJ008228,Hydro Next Gen Moc Poplar,Merrell,Sandals,Women
10K40358902,Speedcat Go Women's Sneakers,PUMA come from PUMA merchant,未知類型,Women
10K40358901,Speedcat Go Women's Sneakers,PUMA come from PUMA merchant,未知類型,Women
10K40128701,Speedcat Ballet Suede Women's Sneakers,PUMA come from PUMA merchant,未知類型,Women
1151203A615102,Japan S,Asics,Sneakers,Women
112M2002RJM,2002R,New Balance,Sneakers,Unisex
112U1906NB,1906 Utility,New Balance,Sneakers,Unisex
112U1906NC,1906 Utility,New Balance,Sneakers,Unisex
10K40128702,Speedcat Ballet Suede Women's Sneakers,PUMA come from PUMA merchant,未知類型,Women
112M1906RCB,1906R,New Balance,Sneakers,Unisex
112U1906NA,1906 Utility,New Balance,Sneakers,Unisex
108JS3317,Taekwondo,Adidas,Sneakers,Women
129L47738500,XT-6,Salomon,Hiking Shoes,Unisex
108JP5609,Sambae,Adidas,Sneakers,Women
108JQ7440,Samba XLG,Adidas,Sneakers,Unisex
129L47737400,XT-6 Oxford,Salomon,Hiking Shoes,Unisex
