shoe_sku,shoe_name,shoe_brand,shoe_type,shoe_gender
1HK1162031VCH,Clifton 10,Hoka,Running Shoes,Women
108JH8643,SL 72 RS,Adidas,Sneakers,Unisex
108JI0196,SL 72 OG,Adidas,Sneakers,Women
1HK1162031WWH,Clifton 10,Hoka,Running Shoes,Women
1HK1162031BBLC,Clifton 10,Hoka,Running Shoes,Women
150A11863C,Run Star Trainer,Converse,Sneakers,Unisex
150A13465C,Omni Trainer,Converse,Sneakers,Unisex
150A13469C,Converse Omega Trainer,Converse,Sneakers,Unisex
150A13470C,Converse Omega Trainer,Converse,Sneakers,Unisex
150A11861C,Run Star Trainer,Converse,Sneakers,Unisex
150A13467C,Omni Trainer,Converse,Sneakers,Unisex
150A13471C,Converse Omega Trainer,Converse,Sneakers,Unisex
150A15069C,Run Star Trainer,Converse,Sneakers,Unisex
150A12196C,Run Star Trainer,Converse,Sneakers,Unisex
108JH5632,Samba OG,Adidas,Sneakers,Unisex
108JI3202,Samba OG,Adidas,Sneakers,Unisex
112U530NEA,530,New Balance,Sneakers,Unisex
112U530NEB,530,New Balance,Sneakers,Unisex
112WS327FTA,327,New Balance,Sneakers,Women
112U1906RNE,1906R,New Balance,Sneakers,Unisex
112U1906RNF,1906R,New Balance,Sneakers,Unisex
112U327GPA,327,New Balance,Sneakers,Unisex
112U327GPB,327,New Balance,Sneakers,Unisex
112U530NEC,530,New Balance,Sneakers,Unisex
