shoe_sku,shoe_name,shoe_brand,shoe_type,shoe_gender
1HK1147851BSW,Arahi 7,Hoka,Running Shoes,Women
1HK1164033BBLC,Mach 6 LA,Hoka,Running Shoes,Women
1HK1147810WTLT,MACH 6,Hoka,Running Shoes,Women
1HK1155113FSTS,SKYFLOW,Hoka,Running Shoes,Women
1HK1147810BKFS,Mach 6,Hoka,Running Shoes,Women
1HK1155151SZQ,Speedgoat 6 GORE-TEX,Hoka,Hiking Shoes,Women
1HK1141570ORZ,Ora Primo,Hoka,Sneakers,Unisex
1HK1155196OKS,Kaha 2 Frost Moc GORE-TEX,Hoka,Sneakers,Women
1HK1147811OMN,Speedgoat 6,Hoka,Hiking Shoes,Women
1HK1155350BLTR,Stinson EVO OG,Hoka,Trail Running Shoes,Unisex
1HK1134532STLLT,Restore TC,Hoka,Casual Footwear,Unisex
1HK1155370BWHT,Clifton One9,Hoka,Casual Footwear,Unisex
1HK1162012WWH,Bondi 9,Hoka,Running Shoes,Women
1HK1162850SSTST,Project Transport,Hoka,Casual Footwear,Unisex
1HK1133958FDEGG,Transport GORE-TEX,Hoka,Hiking Shoes,Women
1HK1155350SHK,Stinson EVO OG,Hoka,Hiking Shoes,Unisex
1HK1147952BBLC,Tor Summit,Hoka,Hiking Shoes,Unisex
1HK1164033WWH,Mach 6 LA,Hoka,Running Shoes,Women
1HK1123112WHWH,Hopara,Hoka,Sandals,Unisex
1HK1127952SLRL,Bondi 8,Hoka,Running Shoes,Women
1HK1127896FCK,Clifton 9,Hoka,Running Shoes,Women
1HK1142830FBBLC,Anacapa 2 Low GORE-TEX,Hoka,Hiking Shoes,Women
1MLJ85950,Hydro Moc,Merrell,Sandals,Women
1HK1127952WWH,Bondi 8,Hoka,Running Shoes,Women
