shoe_sku,shoe_name,shoe_brand,shoe_type,shoe_gender
1HK1147851BSW,Arahi 7,Hoka,Running Shoes,Women
1HK1164033BBLC,Mach 6 LA,Hoka,Running Shoes,Women
1HK1147810WTLT,MACH 6,Hoka,Running Shoes,Women
1HK1155113FSTS,SKYFLOW,Hoka,Running Shoes,Women
1HK1147810BKFS,Mach 6,Hoka,Running Shoes,Women
1HK1155151SZQ,Speedgoat 6 GORE-TEX,Hoka,Hiking Shoes,Women
1HK1141570ORZ,Ora Primo,Hoka,Sneakers,Unisex
1HK1155196OKS,Kaha 2 Frost Moc GORE-TEX,Hoka,Sneakers,Women
1HK1147811OMN,Speedgoat 6,Hoka,Hiking Shoes,Women
1HK1155350BLTR,Stinson EVO OG,Hoka,Trail Running Shoes,Unisex
1HK1134532STLLT,Restore TC,Hoka,Casual Footwear,Unisex
1HK1155370BWHT,Clifton One9,Hoka,Casual Footwear,Unisex
1HK1162012WWH,Bondi 9,Hoka,Running Shoes,Women
1HK1162850SSTST,Project Transport,Hoka,Casual Footwear,Unisex
1HK1133958FDEGG,Transport GORE-TEX,Hoka,Hiking Shoes,Women
1HK1155350SHK,Stinson EVO OG,Hoka,Hiking Shoes,Unisex
1HK1147952BBLC,Tor Summit,Hoka,Hiking Shoes,Unisex
1HK1164033WWH,Mach 6 LA,Hoka,Running Shoes,Women
1HK1123112WHWH,Hopara,Hoka,Sandals,Unisex
1HK1127952WWH,Bondi 8,Hoka,Running Shoes,Women
1HK1162031VCH,Clifton 10,Hoka,Running Shoes,Women
1HK1162031WWH,Clifton 10,Hoka,Running Shoes,Women
1HK1127952SLRL,Bondi 8,Hoka,Running Shoes,Women
1HK1127896FCK,Clifton 9,Hoka,Running Shoes,Women
1HK1142830FBBLC,Anacapa 2 Low GORE-TEX,Hoka,Hiking Shoes,Women
1MLJ85950,Hydro Moc,Merrell,Sandals,Women
108IF7005,Stan Smith PF,Adidas,Sneakers,Women
108IE3699,Handball Spezial,Adidas,Sneakers,Unisex
108ID8845,Ultraboost 5,Adidas,Running Shoes,Women
108IE1435,Superstar Home,Adidas,Sneakers,Unisex
108IE8800,Ultrarun 5,Adidas,Running Shoes,Women
108IG1273,Adilette Comfort,Adidas,Slippers,Women
108BB5476,Gazelle,Adidas,Sneakers,Unisex
108B75806,Samba OG,Adidas,Sneakers,Unisex
108BB5480,Gazelle,Adidas,Sneakers,Unisex
108EG6517,Adissage Slides,Adidas,Slippers,Unisex
108GZ5891,Adilette Comfort,Adidas,Slippers,Unisex
108HQ4204,Ultraboost 1.0,Adidas,Running Shoes,Women
108HQ8708,Campus 00S,Adidas,Sneakers,Unisex
108HP5788,Ultrabounce,Adidas,Running Shoes,Women
108HQ4206,Ultraboost 1.0,Adidas,Running Shoes,Women
108ID9843,Campus 2.0,Adidas,Sneakers,Unisex
108H06125,Gazelle Bold,Adidas,Sneakers,Women
108HQ4670,Adilette 22,Adidas,Slippers,Unisex
108IE7052,Adifom Stan Smith Mule,Adidas,Sneakers,Women
108HQ8752,Adifom Superstar,Adidas,Sneakers,Unisex
108IE3403,Handball Spezial,Adidas,Sneakers,Unisex
108IF8064,Pureboost 23,Adidas,Running Shoes,Unisex
10K31007904,Explore NITRO™ 2 Women's Hiking Shoes,PUMA come from PUMA merchant,未知類型,Women
10K31015201,Darter Pro Running Shoes,PUMA come from PUMA merchant,未知類型,Unisex
10K31015206,Darter Pro Running Shoes,PUMA come from PUMA merchant,未知類型,Unisex
10K31069403,Softride Carson Ease In Running Shoes,PUMA come from PUMA merchant,未知類型,Unisex
10K31069405,Softride Carson Ease In Running Shoes,PUMA come from PUMA merchant,未知類型,Unisex
10K36962127,Adelina Slip-On Women's Sneakers,PUMA come from PUMA merchant,未知類型,Women
10K36962129,Adelina Slip-On Women's Sneakers,PUMA come from PUMA merchant,未知類型,Women
10K36962130,Adelina Slip-On Women's Sneakers,PUMA come from PUMA merchant,未知類型,Women
